CrashDate,CrashTime,Borough,Cause,Count,Code
2/14/2020,21:04,QUEENS,Unspecified,1,A157
2/14/2020,8:30,BROOKLYN,Passing or Lane Usage Improper,1,A158
2/14/2020,14:30,Unspecified,Driver Inattention/Distraction,1,A159
2/14/2020,15:42,BROOKLYN,Driver Inattention/Distraction,1,A160
2/14/2020,5:30,QUEENS,Driver Inattention/Distraction,1,A161
2/14/2020,14:06,BROOKLYN,Driver Inattention/Distraction,1,A162
2/14/2020,19:00,BRONX,Following Too Closely,1,A163
2/14/2020,12:00,QUEENS,Driver Inattention/Distraction,1,A164
2/14/2020,17:10,BRONX,Unsafe Lane Changing,1,A165
2/14/2020,10:20,BROOKLYN,Driver Inattention/Distraction,1,A166
2/14/2020,17:46,QUEENS,Passing or Lane Usage Improper,1,A167
2/14/2020,15:30,BRONX,Tinted Windows,1,A168
2/14/2020,7:55,BROOKLYN,Unspecified,1,A169
2/14/2020,1:15,QUEENS,Driver Inattention/Distraction,1,A170
2/14/2020,12:55,Unspecified,Unsafe Speed,1,A171
2/14/2020,21:40,BROOKLYN,Failure to Yield Right-of-Way,1,A172
2/14/2020,2:30,Unspecified,Driver Inattention/Distraction,1,A173
2/14/2020,11:50,BRONX,Driver Inattention/Distraction,1,A174
2/14/2020,10:45,QUEENS,Driver Inattention/Distraction,1,A175
2/14/2020,11:30,QUEENS,Following Too Closely,1,A176
2/14/2020,7:00,BRONX,Following Too Closely,1,A177
2/14/2020,14:40,MANHATTAN,Driver Inattention/Distraction,1,A178
2/14/2020,12:35,MANHATTAN,Unspecified,1,A179
2/14/2020,17:30,BRONX,Unspecified,1,A180
2/14/2020,13:20,Unspecified,Failure to Yield Right-of-Way,1,A181
2/14/2020,12:37,STATEN ISLAND,Driver Inattention/Distraction,1,A182
2/14/2020,22:00,QUEENS,Unspecified,1,A183
2/14/2020,9:00,Unspecified,Driver Inattention/Distraction,1,A184
2/14/2020,12:00,BROOKLYN,Reaction to Uninvolved Vehicle,1,A185
2/14/2020,14:00,BROOKLYN,Driver Inattention/Distraction,1,A186
2/14/2020,21:00,BRONX,Failure to Yield Right-of-Way,1,A187
2/14/2020,2:10,Unspecified,Driver Inattention/Distraction,1,A188
2/14/2020,18:45,QUEENS,Following Too Closely,1,A189
2/14/2020,17:20,Unspecified,Passing or Lane Usage Improper,1,A190
2/14/2020,0:04,MANHATTAN,Driver Inattention/Distraction,1,A191
2/14/2020,22:45,Unspecified,Other Vehicular,1,A192
2/14/2020,1:46,Unspecified,Driver Inattention/Distraction,1,A193
2/14/2020,8:40,QUEENS,Failure to Yield Right-of-Way,1,A194
2/14/2020,8:55,Unspecified,Following Too Closely,1,A195
2/14/2020,12:23,QUEENS,Passing Too Closely,1,A196
2/14/2020,16:00,Unspecified,Unspecified,1,A197
2/14/2020,17:00,MANHATTAN,Driver Inexperience,1,A198
2/14/2020,19:30,QUEENS,Driver Inattention/Distraction,1,A199
2/14/2020,19:00,BROOKLYN,Unspecified,1,A200
2/14/2020,6:30,Unspecified,Driver Inattention/Distraction,1,A201
2/14/2020,13:15,Unspecified,Driver Inattention/Distraction,1,A202
2/14/2020,20:22,Unspecified,Illnes,1,A203
2/14/2020,8:20,BROOKLYN,Driver Inattention/Distraction,1,A204
2/14/2020,8:00,Unspecified,Passing Too Closely,1,A205
