CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
1/13/2020,9:00,MANHATTAN,Unspecified,1
1/13/2020,18:36,,Driver Inattention/Distraction,1
1/13/2020,3:30,,Unspecified,1
1/13/2020,19:00,QUEENS,Passing or Lane Usage Improper,1
1/13/2020,0:00,,Following Too Closely,1
1/13/2020,13:00,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,13:23,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,7:49,,Driver Inattention/Distraction,1
1/13/2020,0:55,QUEENS,Driver Inattention/Distraction,1
1/13/2020,14:00,BROOKLYN,Unspecified,1
1/13/2020,19:30,,Traffic Control Disregarded,1
1/13/2020,17:08,,Unspecified,1
1/13/2020,8:39,QUEENS,Driver Inattention/Distraction,1
1/13/2020,8:05,,Failure to Yield Right-of-Way,1
1/13/2020,7:30,MANHATTAN,Passing Too Closely,1
1/13/2020,0:30,MANHATTAN,Other Vehicular,1
1/13/2020,18:35,BRONX,View Obstructed/Limited,1
1/13/2020,10:31,BRONX,Unspecified,1
1/13/2020,17:57,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,13:30,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,8:00,BROOKLYN,Driver Inexperience,1
1/13/2020,8:00,QUEENS,Passing Too Closely,1
1/13/2020,13:45,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,13:25,BROOKLYN,Following Too Closely,1
1/13/2020,11:00,,Passing Too Closely,1
1/13/2020,7:00,BRONX,Driver Inattention/Distraction,1
1/13/2020,12:56,,Driver Inattention/Distraction,1
1/13/2020,18:14,,Driver Inattention/Distraction,1
1/13/2020,17:30,BRONX,Driver Inattention/Distraction,1
1/13/2020,19:33,,Unsafe Speed,1
1/13/2020,17:25,,Backing Unsafely,1
1/13/2020,7:45,QUEENS,Driver Inattention/Distraction,1
1/13/2020,14:40,,Driver Inattention/Distraction,1
1/13/2020,8:47,,Following Too Closely,1
1/13/2020,22:40,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,20:18,BRONX,Unspecified,1
1/13/2020,15:20,,Driver Inattention/Distraction,1
1/13/2020,12:10,BROOKLYN,Backing Unsafely,1
1/13/2020,0:56,,Driver Inattention/Distraction,1
1/13/2020,16:12,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,6:43,BRONX,Driver Inattention/Distraction,1
1/13/2020,8:43,MANHATTAN,Driver Inexperience,1
1/13/2020,10:15,QUEENS,Unspecified,1
1/13/2020,18:00,QUEENS,Unspecified,1
1/13/2020,0:00,,Following Too Closely,1
1/13/2020,11:30,BROOKLYN,Backing Unsafely,1
1/13/2020,13:15,,Failure to Yield Right-of-Way,1
1/13/2020,18:28,MANHATTAN,Failure to Yield Right-of-Way,1
1/13/2020,17:10,QUEENS,Following Too Closely,1
1/13/2020,12:00,,Driver Inattention/Distraction,1
1/13/2020,16:50,,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,1
1/13/2020,19:54,,Turning Improperly,1
1/13/2020,7:40,BROOKLYN,Passing Too Closely,1
1/13/2020,12:20,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,14:55,STATEN ISLAND,Driver Inattention/Distraction,1
1/13/2020,2:00,QUEENS,Unspecified,1
1/13/2020,19:08,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,8:51,QUEENS,Driver Inattention/Distraction,1
1/13/2020,14:18,BROOKLYN,Backing Unsafely,1
1/13/2020,13:08,MANHATTAN,Unspecified,1
1/13/2020,11:15,BRONX,Driver Inattention/Distraction,1
1/13/2020,8:31,MANHATTAN,Driver Inattention/Distraction,1
1/13/2020,20:58,QUEENS,Unspecified,1
1/13/2020,17:30,QUEENS,Driver Inattention/Distraction,1
1/13/2020,22:07,,Following Too Closely,1
1/13/2020,9:25,MANHATTAN,Unspecified,1
1/13/2020,16:05,BRONX,Other Vehicular,1
1/13/2020,17:00,MANHATTAN,View Obstructed/Limited,1
1/13/2020,7:15,MANHATTAN,View Obstructed/Limited,1
1/13/2020,6:35,BROOKLYN,Unspecified,1
1/13/2020,8:45,BROOKLYN,Unspecified,1
1/13/2020,15:00,MANHATTAN,Following Too Closely,1
1/13/2020,8:30,,Unspecified,1
1/13/2020,11:20,QUEENS,Backing Unsafely,1
1/13/2020,9:10,,Unspecified,1
1/13/2020,21:20,,Driver Inattention/Distraction,1
1/13/2020,5:00,BROOKLYN,Aggressive Driving/Road Rage,1
1/13/2020,12:15,BROOKLYN,Passing or Lane Usage Improper,1
1/13/2020,12:40,MANHATTAN,Following Too Closely,1
1/13/2020,9:20,BROOKLYN,Unspecified,1
1/13/2020,10:45,,Driver Inattention/Distraction,1
1/13/2020,15:00,QUEENS,Traffic Control Disregarded,1
1/13/2020,20:05,MANHATTAN,Failure to Yield Right-of-Way,1
1/13/2020,5:25,,Driver Inattention/Distraction,1
1/13/2020,17:50,QUEENS,Driver Inattention/Distraction,1
1/13/2020,9:58,QUEENS,Driver Inattention/Distraction,1
1/13/2020,13:22,,Passing or Lane Usage Improper,1
1/13/2020,1:30,,Driver Inattention/Distraction,1
1/13/2020,11:40,QUEENS,Backing Unsafely,1
1/13/2020,8:45,,Driver Inattention/Distraction,1
1/13/2020,17:39,,Unsafe Lane Changing,1
1/13/2020,14:30,BRONX,Other Vehicular,1
1/13/2020,7:30,MANHATTAN,Unspecified,1
1/13/2020,14:00,QUEENS,Unspecified,1
1/13/2020,11:50,QUEENS,Backing Unsafely,1
1/13/2020,13:00,QUEENS,Unspecified,1
1/13/2020,23:20,BROOKLYN,Unspecified,1
1/13/2020,19:25,BRONX,Unspecified,1
1/13/2020,19:00,QUEENS,Unspecified,1
1/13/2020,12:15,QUEENS,Driver Inattention/Distraction,1
1/13/2020,0:00,,Driver Inattention/Distraction,1
1/13/2020,20:38,BRONX,Driver Inattention/Distraction,1
1/13/2020,22:00,BROOKLYN,Unspecified,1
1/13/2020,18:40,QUEENS,Failure to Yield Right-of-Way,1
1/13/2020,8:25,MANHATTAN,Turning Improperly,1
1/13/2020,6:30,,Following Too Closely,1
1/13/2020,7:00,,Unspecified,1
1/13/2020,17:08,,Driver Inattention/Distraction,1
1/13/2020,12:47,BROOKLYN,Driver Inattention/Distraction,1
1/13/2020,11:15,MANHATTAN,Passing or Lane Usage Improper,1
1/13/2020,21:38,,Unspecified,1
1/13/2020,9:00,BROOKLYN,Unspecified,1
