CRASH DATE,CRASH TIME,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,Count
12/24/2019,2:44,BROOKLYN,Driver Inattention/Distraction,1
12/24/2019,14:34,BROOKLYN,Unsafe Lane Changing,1
12/24/2019,18:55,QUEENS,Following Too Closely,1
12/24/2019,13:00,BROOKLYN,Alcohol Involvement,1
12/24/2019,13:00,,Driver Inattention/Distraction,1
12/24/2019,15:00,QUEENS,Driver Inattention/Distraction,1
12/24/2019,6:30,BROOKLYN,Failure to Yield Right-of-Way,1
12/24/2019,19:45,,Passing Too Closely,1
12/24/2019,18:45,BRONX,Failure to Yield Right-of-Way,1
12/24/2019,12:20,,Following Too Closely,1
12/24/2019,16:10,,Failure to Yield Right-of-Way,1
12/24/2019,14:30,,Driver Inattention/Distraction,1
12/24/2019,20:52,,Unsafe Lane Changing,1
12/24/2019,22:30,BRONX,Unspecified,1
12/24/2019,12:43,QUEENS,Failure to Yield Right-of-Way,1
12/24/2019,9:50,QUEENS,Backing Unsafely,1
12/24/2019,7:58,QUEENS,Unsafe Speed,1
12/24/2019,17:19,BROOKLYN,Following Too Closely,1
12/24/2019,15:42,BROOKLYN,Unspecified,1
12/24/2019,13:32,STATEN ISLAND,Backing Unsafely,1
12/24/2019,10:50,,Driver Inattention/Distraction,1
12/24/2019,9:04,MANHATTAN,Following Too Closely,1
12/24/2019,0:50,,Backing Unsafely,1
12/24/2019,8:30,BRONX,Other Vehicular,1
12/24/2019,20:00,,Passing or Lane Usage Improper,1
12/24/2019,13:40,BROOKLYN,Unspecified,1
12/24/2019,0:00,QUEENS,Following Too Closely,1
12/24/2019,15:25,BRONX,Unspecified,1
12/24/2019,3:53,QUEENS,Alcohol Involvement,1
12/24/2019,15:00,BROOKLYN,Passing Too Closely,1
12/24/2019,17:45,BROOKLYN,Following Too Closely,1
12/24/2019,15:50,,Following Too Closely,1
12/24/2019,17:00,,Following Too Closely,1
12/24/2019,4:17,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,13:30,MANHATTAN,Driver Inattention/Distraction,1
12/24/2019,18:10,BRONX,Unspecified,1
12/24/2019,13:00,,Traffic Control Disregarded,1
12/24/2019,9:40,QUEENS,Following Too Closely,1
12/24/2019,19:00,QUEENS,Unspecified,1
12/24/2019,7:50,,Passing Too Closely,1
12/24/2019,9:15,QUEENS,Following Too Closely,1
12/24/2019,18:46,BRONX,Turning Improperly,1
12/24/2019,11:46,BROOKLYN,Backing Unsafely,1
12/24/2019,14:05,,Failure to Yield Right-of-Way,1
12/24/2019,21:00,BROOKLYN,Unsafe Lane Changing,1
